patient,psnr,ssim,ms_ssim,vif,sd,en,mse,mae
1BC054,35.30272080332854,0.9337822176101098,0.9792292642593384,0.4697041571140289,0.09034815,10.966514,0.00030744157,0.009453029
1BB011,33.658333638922144,0.9363456307992636,0.9813457831092502,0.49909609944924066,0.095343806,10.979215,0.00045309812,0.011591101
1BB082,33.09958166898786,0.9259240309623457,0.9776624726212543,0.48838413668715436,0.092393585,10.986789,0.00053468236,0.011803484
1BC010,35.635785343928,0.9421353725308076,0.9834329323335127,0.49275057830593805,0.097207256,10.9616995,0.00030421728,0.0092058685
1BB171,34.79107994144154,0.9432277403004536,0.9824638175964355,0.4835066640377045,0.084467985,11.002083,0.00037548968,0.009992365
1BB198,35.86155473840909,0.945834203531139,0.9842438752000983,0.500362984158776,0.0904433,10.997651,0.00030414385,0.009273858
1BC065,35.75402008861755,0.9417831328137322,0.9821051806211472,0.5227189853787422,0.1028264,10.938806,0.00027707987,0.0094602015
1BC039,35.33389471349919,0.9414249643423971,0.9815329767408825,0.5058354792140779,0.09311952,10.956859,0.00031117114,0.009311654
1BA184,34.2083707159721,0.9399177095690857,0.9818898725509644,0.4521705365180969,0.10333367,11.01961,0.00042239777,0.011728748
1BA278,33.35684947581829,0.9313882400490733,0.9773613885045052,0.42889559517304104,0.105980985,11.028824,0.0005311624,0.012363925
1BA256,33.57545897810603,0.9383056886693729,0.9806180422504743,0.4335346594452858,0.10233893,11.025055,0.0005062236,0.012309581
1BC049,35.04171786504528,0.9411020468803248,0.9827288026395051,0.5000023906645568,0.09982371,10.9497795,0.00034743673,0.009662978
1BB017,33.35231076136175,0.9329979153973184,0.9797220203009519,0.49934480677951465,0.09829328,10.976359,0.00048251532,0.011540038
1BB090,34.15058937773486,0.94070583070385,0.9831564074212854,0.5048719183965162,0.097394474,10.98706,0.00041187415,0.011092847
1BB091,33.23485984358802,0.926749247506638,0.9793109695116679,0.5055851198378063,0.10474909,10.974063,0.0005147859,0.012110529
1BA111,34.70149931160663,0.9374341275250293,0.980878454943498,0.49038339778780937,0.097006716,10.948886,0.0003606899,0.010216576
1BC001,35.67340067424424,0.9489684213306194,0.984424970366738,0.5277068140831861,0.09836018,10.949159,0.00028061183,0.008956528
1BB044,34.146863504140896,0.9369328772361403,0.9797101294000944,0.474354883035024,0.0821876,10.9991,0.00043269867,0.010609872
overall_average,34.49327174693067,0.9380532998754278,0.9812120755762002,0.48773384478147225,0.09642326,10.980417,0.0003976511,0.010593509
